,temp,pressure,humidity,rain_1h,play
1,274.0,1015.0,93.0,5.0,0.0
3,274.0,1015.0,93.0,5.0,0.0
5,274.0,1014.0,93.0,63.0,0.0
6,275.0,1014.0,93.0,83.0,0.0
12,276.0,1015.0,100.0,0.0,0.0
13,276.0,1015.0,100.0,0.0,0.0
14,276.0,1015.0,100.0,0.0,1.0
19,276.0,1017.0,100.0,0.0,0.0
23,276.0,1017.0,100.0,0.0,0.0
24,276.0,1017.0,100.0,0.0,0.0
25,276.0,1017.0,100.0,0.0,0.0
27,277.0,1017.0,100.0,0.0,0.0
34,279.0,1020.0,93.0,0.0,0.0
35,279.0,1020.0,93.0,0.0,0.0
43,278.0,1022.0,86.0,0.0,1.0
48,275.0,1025.0,93.0,0.0,0.0
53,277.0,1027.0,93.0,0.0,0.0
54,277.0,1028.0,93.0,0.0,0.0
57,277.0,1030.0,93.0,0.0,0.0
59,277.0,1030.0,93.0,0.0,0.0
60,277.0,1031.0,93.0,0.0,1.0
68,277.0,1032.0,93.0,0.0,0.0
69,277.0,1032.0,93.0,0.0,0.0
71,276.0,1032.0,93.0,0.0,0.0
76,275.0,1029.0,100.0,0.0,0.0
78,275.0,1028.0,93.0,0.0,0.0
81,275.0,1025.0,86.0,0.0,0.0
84,278.0,1022.0,65.0,0.0,1.0
87,280.0,1018.0,61.0,5.0,0.0
92,281.0,1011.0,61.0,0.0,1.0
94,281.0,1009.0,49.0,0.0,1.0
95,281.0,1008.0,49.0,0.0,1.0
99,279.0,1003.0,75.0,161.0,0.0
104,279.0,998.0,93.0,346.0,0.0
105,280.0,997.0,93.0,264.0,0.0
110,281.0,997.0,87.0,0.0,1.0
111,282.0,997.0,81.0,3.0,0.0
114,280.0,997.0,87.0,0.0,1.0
128,277.0,995.0,93.0,0.0,1.0
129,277.0,994.0,86.0,0.0,1.0
130,277.0,993.0,86.0,0.0,1.0
135,279.0,989.0,93.0,172.0,0.0
136,279.0,988.0,87.0,0.0,1.0
139,278.0,987.0,86.0,22.0,0.0
141,278.0,987.0,93.0,0.0,1.0
150,277.0,994.0,86.0,0.0,1.0
159,280.0,1001.0,70.0,0.0,1.0
162,280.0,1001.0,65.0,0.0,1.0
163,279.0,1001.0,75.0,0.0,1.0
165,278.0,1001.0,80.0,0.0,1.0
166,278.0,1001.0,80.0,0.0,1.0
170,277.0,996.0,80.0,5.0,0.0
172,277.0,994.0,86.0,5.0,0.0
175,277.0,988.0,93.0,163.0,0.0
180,276.0,1001.0,93.0,5.0,0.0
182,277.0,1004.0,93.0,0.0,1.0
183,278.0,1005.0,86.0,0.0,1.0
184,278.0,1005.0,86.0,0.0,1.0
187,278.0,1006.0,81.0,0.0,1.0
197,278.0,997.0,93.0,93.0,0.0
199,277.0,996.0,93.0,117.0,0.0
206,279.0,1004.0,86.0,0.0,1.0
214,277.0,1009.0,86.0,0.0,1.0
220,276.0,1010.0,86.0,0.0,1.0
225,274.0,1012.0,93.0,0.0,0.0
226,274.0,1013.0,86.0,0.0,0.0
227,274.0,1013.0,80.0,0.0,1.0
228,275.0,1013.0,80.0,0.0,1.0
230,278.0,1013.0,80.0,0.0,0.0
231,278.0,1013.0,75.0,0.0,0.0
234,279.0,1014.0,70.0,0.0,1.0
239,276.0,1016.0,86.0,0.0,1.0
244,277.0,1019.0,86.0,0.0,1.0
246,276.0,1020.0,86.0,0.0,1.0
249,275.0,1021.0,86.0,0.0,1.0
251,274.0,1022.0,86.0,0.0,1.0
257,279.0,1021.0,60.0,0.0,1.0
261,276.0,1021.0,75.0,0.0,1.0
272,272.0,1018.0,86.0,0.0,0.0
273,271.0,1018.0,86.0,0.0,1.0
275,272.0,1017.0,80.0,0.0,1.0
280,278.0,1012.0,45.0,0.0,1.0
281,278.0,1012.0,48.0,0.0,1.0
282,278.0,1011.0,45.0,0.0,1.0
288,275.0,1007.0,80.0,0.0,1.0
289,275.0,1007.0,86.0,4.0,0.0
295,275.0,1005.0,93.0,35.0,0.0
299,275.0,1006.0,93.0,0.0,0.0
301,276.0,1006.0,86.0,0.0,0.0
303,276.0,1007.0,86.0,0.0,1.0
304,277.0,1007.0,86.0,0.0,1.0
311,274.0,1009.0,93.0,0.0,1.0
313,274.0,1010.0,86.0,0.0,1.0
319,272.0,1009.0,92.0,0.0,0.0
320,271.0,1009.0,92.0,0.0,0.0
321,271.0,1008.0,100.0,0.0,0.0
322,270.0,1008.0,100.0,0.0,0.0
337,275.0,999.0,93.0,0.0,0.0
345,274.0,998.0,93.0,0.0,0.0
346,274.0,998.0,86.0,0.0,0.0
350,275.0,999.0,93.0,0.0,0.0
353,277.0,999.0,86.0,0.0,0.0
366,279.0,991.0,100.0,0.0,0.0
367,279.0,991.0,100.0,0.0,0.0
371,277.0,993.0,93.0,0.0,1.0
372,277.0,993.0,93.0,0.0,1.0
377,277.0,998.0,93.0,0.0,1.0
378,277.0,999.0,86.0,0.0,1.0
380,278.0,1001.0,80.0,0.0,1.0
382,278.0,1003.0,80.0,0.0,1.0
383,277.0,1005.0,80.0,0.0,1.0
385,276.0,1007.0,86.0,0.0,1.0
395,272.0,1014.0,92.0,0.0,0.0
399,273.0,1016.0,86.0,0.0,0.0
404,276.0,1016.0,80.0,0.0,0.0
407,275.0,1016.0,86.0,0.0,0.0
415,275.0,1015.0,93.0,0.0,1.0
416,275.0,1015.0,86.0,0.0,0.0
418,275.0,1014.0,93.0,0.0,0.0
419,275.0,1013.0,93.0,0.0,1.0
421,275.0,1013.0,86.0,0.0,0.0
428,277.0,1008.0,75.0,0.0,0.0
437,277.0,1009.0,93.0,26.0,0.0
440,275.0,1010.0,93.0,19.0,0.0
451,277.0,1014.0,86.0,0.0,0.0
453,277.0,1015.0,86.0,0.0,0.0
460,277.0,1018.0,93.0,0.0,0.0
462,277.0,1018.0,93.0,0.0,0.0
464,277.0,1019.0,86.0,0.0,0.0
465,276.0,1019.0,93.0,0.0,0.0
468,277.0,1020.0,93.0,0.0,0.0
469,277.0,1019.0,93.0,0.0,0.0
472,277.0,1020.0,86.0,0.0,0.0
479,278.0,1021.0,80.0,0.0,1.0
483,277.0,1022.0,80.0,0.0,1.0
486,277.0,1023.0,86.0,0.0,1.0
489,277.0,1024.0,86.0,0.0,1.0
492,276.0,1025.0,86.0,0.0,0.0
494,276.0,1026.0,86.0,0.0,1.0
495,276.0,1026.0,86.0,0.0,1.0
500,277.0,1027.0,86.0,0.0,1.0
505,277.0,1029.0,93.0,0.0,0.0
506,277.0,1029.0,93.0,0.0,1.0
511,277.0,1029.0,93.0,0.0,0.0
512,277.0,1029.0,86.0,0.0,0.0
519,276.0,1031.0,93.0,0.0,0.0
521,276.0,1031.0,86.0,0.0,0.0
523,277.0,1030.0,86.0,5.0,0.0
525,277.0,1029.0,75.0,0.0,1.0
528,276.0,1029.0,74.0,0.0,1.0
531,275.0,1029.0,80.0,0.0,1.0
532,276.0,1029.0,80.0,0.0,1.0
535,273.0,1028.0,86.0,0.0,0.0
536,274.0,1028.0,86.0,0.0,0.0
540,274.0,1027.0,86.0,0.0,0.0
542,275.0,1027.0,86.0,0.0,0.0
550,275.0,1023.0,74.0,0.0,0.0
555,273.0,1022.0,86.0,0.0,0.0
557,273.0,1021.0,92.0,0.0,0.0
558,273.0,1020.0,92.0,0.0,0.0
559,273.0,1020.0,86.0,0.0,0.0
564,272.0,1017.0,86.0,0.0,0.0
574,275.0,1018.0,100.0,0.0,0.0
577,275.0,1020.0,100.0,0.0,0.0
578,275.0,1020.0,100.0,0.0,0.0
580,276.0,1021.0,93.0,0.0,0.0
582,276.0,1022.0,93.0,0.0,0.0
590,276.0,1025.0,93.0,0.0,0.0
602,275.0,1026.0,80.0,0.0,0.0
603,275.0,1026.0,80.0,0.0,0.0
608,273.0,1024.0,80.0,0.0,1.0
621,278.0,1014.0,65.0,0.0,1.0
622,278.0,1013.0,65.0,5.0,0.0
626,279.0,1010.0,65.0,83.0,0.0
627,279.0,1009.0,81.0,83.0,0.0
640,278.0,1017.0,80.0,0.0,1.0
641,278.0,1018.0,80.0,0.0,1.0
650,278.0,1022.0,70.0,0.0,1.0
651,278.0,1022.0,70.0,0.0,1.0
654,277.0,1024.0,86.0,0.0,1.0
663,277.0,1024.0,86.0,38.0,0.0
665,277.0,1025.0,93.0,68.0,0.0
666,277.0,1025.0,86.0,68.0,0.0
670,277.0,1023.0,100.0,0.0,0.0
679,282.0,1022.0,93.0,11.0,0.0
683,282.0,1022.0,87.0,66.0,0.0
684,282.0,1022.0,81.0,35.0,0.0
685,282.0,1022.0,81.0,35.0,0.0
686,282.0,1022.0,81.0,42.0,0.0
687,282.0,1022.0,81.0,35.0,0.0
689,282.0,1022.0,76.0,61.0,0.0
691,283.0,1022.0,71.0,0.0,1.0
693,284.0,1021.0,54.0,0.0,1.0
695,285.0,1021.0,47.0,0.0,1.0
697,284.0,1019.0,57.0,0.0,1.0
701,282.0,1018.0,75.0,0.0,1.0
703,282.0,1017.0,70.0,0.0,1.0
708,282.0,1016.0,50.0,0.0,1.0
710,282.0,1015.0,61.0,0.0,1.0
714,281.0,1013.0,65.0,0.0,1.0
715,280.0,1013.0,65.0,0.0,1.0
718,283.0,1012.0,43.0,0.0,1.0
724,280.0,1011.0,87.0,5.0,0.0
726,281.0,1011.0,93.0,15.0,0.0
728,281.0,1011.0,93.0,42.0,0.0
731,282.0,1011.0,87.0,0.0,1.0
732,281.0,1011.0,87.0,0.0,1.0
733,282.0,1010.0,87.0,5.0,0.0
734,281.0,1010.0,87.0,5.0,0.0
735,281.0,1009.0,93.0,0.0,1.0
740,283.0,1008.0,87.0,15.0,0.0
743,283.0,1008.0,93.0,24.0,0.0
745,283.0,1009.0,87.0,18.0,0.0
748,282.0,1013.0,81.0,32.0,0.0
749,282.0,1014.0,93.0,5.0,0.0
754,281.0,1019.0,81.0,0.0,1.0
760,281.0,1021.0,75.0,0.0,1.0
764,282.0,1022.0,71.0,0.0,1.0
769,283.0,1023.0,76.0,0.0,1.0
771,282.0,1022.0,81.0,0.0,1.0
773,282.0,1023.0,81.0,0.0,1.0
782,280.0,1022.0,81.0,0.0,1.0
785,278.0,1022.0,86.0,0.0,1.0
786,279.0,1022.0,81.0,0.0,1.0
787,280.0,1022.0,81.0,0.0,1.0
791,285.0,1022.0,62.0,0.0,1.0
792,285.0,1022.0,58.0,0.0,1.0
793,285.0,1022.0,58.0,0.0,1.0
794,284.0,1022.0,66.0,0.0,1.0
797,285.0,1023.0,71.0,0.0,1.0
802,281.0,1023.0,81.0,0.0,1.0
808,283.0,1021.0,81.0,0.0,1.0
812,283.0,1025.0,71.0,0.0,1.0
816,283.0,1027.0,66.0,0.0,1.0
820,280.0,1028.0,75.0,0.0,1.0
821,280.0,1027.0,81.0,0.0,1.0
825,278.0,1024.0,93.0,0.0,0.0
827,278.0,1022.0,86.0,0.0,0.0
844,286.0,1009.0,58.0,5.0,0.0
846,286.0,1010.0,71.0,5.0,0.0
847,285.0,1010.0,71.0,5.0,0.0
853,279.0,1019.0,81.0,0.0,1.0
855,279.0,1020.0,81.0,0.0,1.0
863,280.0,1021.0,81.0,0.0,1.0
867,278.0,1019.0,86.0,0.0,1.0
871,276.0,1020.0,86.0,0.0,1.0
875,276.0,1019.0,93.0,0.0,0.0
878,276.0,1019.0,93.0,0.0,0.0
884,280.0,1016.0,93.0,5.0,0.0
885,282.0,1015.0,87.0,0.0,1.0
886,284.0,1014.0,81.0,0.0,1.0
892,283.0,1011.0,76.0,24.0,0.0
894,282.0,1011.0,81.0,0.0,1.0
895,282.0,1011.0,87.0,5.0,0.0
898,280.0,1012.0,93.0,27.0,0.0
899,279.0,1012.0,93.0,23.0,0.0
900,279.0,1012.0,93.0,3.0,0.0
908,279.0,1009.0,100.0,0.0,0.0
910,281.0,1008.0,93.0,11.0,0.0
914,283.0,1006.0,93.0,45.0,0.0
915,283.0,1006.0,93.0,17.0,0.0
918,283.0,1006.0,93.0,0.0,0.0
922,283.0,1006.0,93.0,1.0,0.0
929,281.0,1006.0,93.0,0.0,0.0
935,281.0,1005.0,93.0,0.0,0.0
942,281.0,1002.0,93.0,0.0,0.0
947,280.0,999.0,93.0,5.0,0.0
948,280.0,998.0,93.0,18.0,0.0
950,281.0,996.0,87.0,104.0,0.0
952,282.0,992.0,87.0,59.0,0.0
960,283.0,987.0,81.0,0.0,1.0
964,282.0,987.0,81.0,0.0,1.0
966,281.0,988.0,70.0,0.0,1.0
972,279.0,990.0,81.0,0.0,1.0
975,278.0,988.0,81.0,0.0,1.0
979,278.0,982.0,93.0,87.0,0.0
980,279.0,981.0,93.0,121.0,0.0
982,279.0,979.0,93.0,142.0,0.0
984,281.0,979.0,87.0,0.0,1.0
985,281.0,979.0,87.0,4.0,0.0
987,281.0,980.0,87.0,0.0,1.0
998,273.0,994.0,92.0,0.0,1.0
1002,272.0,1003.0,86.0,0.0,1.0
1004,272.0,1007.0,86.0,0.0,1.0
1006,273.0,1010.0,86.0,0.0,1.0
1008,273.0,1012.0,80.0,0.0,1.0
1010,273.0,1015.0,68.0,0.0,1.0
1017,270.0,1021.0,85.0,0.0,1.0
1025,269.0,1021.0,85.0,0.0,1.0
1028,269.0,1021.0,86.0,0.0,0.0
1036,271.0,1016.0,84.0,0.0,1.0
1039,271.0,1014.0,100.0,0.0,1.0
1040,271.0,1014.0,92.0,0.0,1.0
1041,271.0,1013.0,92.0,0.0,1.0
1044,271.0,1011.0,86.0,0.0,1.0
1047,272.0,1009.0,86.0,0.0,1.0
1048,272.0,1009.0,86.0,0.0,1.0
1051,271.0,1007.0,92.0,0.0,0.0
1054,271.0,1006.0,86.0,0.0,0.0
1058,270.0,1004.0,92.0,0.0,1.0
1059,270.0,1004.0,100.0,0.0,1.0
1061,271.0,1004.0,92.0,0.0,1.0
1064,271.0,1003.0,100.0,0.0,0.0
1065,271.0,1003.0,100.0,0.0,0.0
1073,270.0,1001.0,100.0,0.0,0.0
1078,274.0,996.0,93.0,0.0,1.0
1079,274.0,996.0,80.0,5.0,0.0
1081,274.0,994.0,86.0,27.0,0.0
1084,275.0,990.0,93.0,0.0,1.0
1086,276.0,989.0,100.0,0.0,0.0
1091,277.0,989.0,80.0,0.0,1.0
1097,277.0,990.0,86.0,41.0,0.0
1106,278.0,994.0,86.0,6.0,0.0
1109,278.0,996.0,81.0,4.0,0.0
1113,278.0,1001.0,93.0,0.0,1.0
1114,278.0,1001.0,93.0,0.0,1.0
1116,278.0,1004.0,93.0,0.0,1.0
1123,277.0,1007.0,86.0,0.0,1.0
1125,276.0,1005.0,80.0,5.0,0.0
1126,276.0,1004.0,86.0,0.0,1.0
1127,277.0,1003.0,75.0,31.0,0.0
1130,279.0,1001.0,81.0,0.0,1.0
1135,280.0,1000.0,81.0,66.0,0.0
1137,279.0,1000.0,75.0,0.0,1.0
1139,278.0,1000.0,80.0,0.0,1.0
1140,278.0,1001.0,70.0,0.0,1.0
1147,278.0,999.0,60.0,0.0,1.0
1153,278.0,999.0,70.0,5.0,0.0
